"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
24050482,"August",27,2006,05:35:00,"BRONX",52,0,NA,TRUE,NA,NA,NA,"25-44","F","BLACK HISPANIC",1017541.5625,255918.875,40.86905819,-73.879631731,"POINT (-73.87963173099996 40.86905819000003)",10467
44975419,"March",31,2008,22:00:00,"QUEENS",113,0,NA,TRUE,NA,NA,NA,"25-44","M","BLACK",1049991.375,194715.125,40.7008888280001,-73.762904834,"POINT (-73.76290483399998 40.70088882800008)",11412
24378757,"September",18,2006,03:30:00,"BROOKLYN",69,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1009296.9375,170104.40625,40.633546659,-73.9097607799999,"POINT (-73.90976077999994 40.63354665900005)",11236
29357208,"May",31,2007,21:50:00,"BRONX",47,0,NA,TRUE,"18-24","M","BLACK","25-44","M","BLACK",1021856.3125,259362.546875,40.878492674,-73.864011918,"POINT (-73.86401191799996 40.87849267400003)",10467
39251534,"February",19,2008,10:49:00,"QUEENS",106,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK",1037371.5,188229.5625,40.68317225,-73.808469459,"POINT (-73.80846945899998 40.68317225000005)",11420
44751685,"March",23,2008,05:11:00,"QUEENS",103,0,NA,TRUE,NA,NA,NA,"25-44","M","BLACK",1042297.5625,192834.703125,40.6957813340001,-73.7906687029999,"POINT (-73.79066870299994 40.69578133400006)",11433
16631511,"June",1,2006,11:40:00,"BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"UNKNOWN","M","BLACK","18-24","M","BLACK",1022077.5,183185.3125,40.6694055070001,-73.863640875,"POINT (-73.86364087499999 40.66940550700008)",11208
16814011,"June",13,2006,20:56:00,"BROOKLYN",70,0,"MULTI DWELL - APT BUILD",TRUE,"25-44","M","BLACK","25-44","M","BLACK",995793,173152,40.641939543,-73.95840838,"POINT (-73.95840837999998 40.641939543000035)",11226
27500997,"March",19,2007,20:42:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1017141,183798,40.671106911,-73.881432957,"POINT (-73.88143295699996 40.67110691100004)",11208
68964080,"December",17,2009,13:45:00,"MANHATTAN",20,0,"MULTI DWELL - APT BUILD",TRUE,"25-44","M","WHITE HISPANIC","45-64","F","WHITE HISPANIC",990838.625,225657.703125,40.7860602220001,-73.976209173,"POINT (-73.97620917299997 40.78606022200006)",10040
23564122,"July",26,2006,00:18:00,"BROOKLYN",75,0,NA,TRUE,"18-24","M","BLACK","45-64","M","BLACK",1017141,183798,40.671106911,-73.881432957,"POINT (-73.88143295699996 40.67110691100004)",11208
33977870,"August",24,2007,21:50:00,"BROOKLYN",73,0,"MULTI DWELL - APT BUILD",FALSE,"<18","M","BLACK","<18","F","BLACK",1008949.8125,180854.5625,40.6630544750001,-73.9109720599999,"POINT (-73.91097205999995 40.66305447500008)",11212
26103369,"January",5,2007,13:54:00,"BRONX",49,0,"GROCERY/BODEGA",TRUE,"18-24","M","WHITE HISPANIC","18-24","M","BLACK",1020677.1875,246167.328125,40.8422807490001,-73.868347499,"POINT (-73.86834749899998 40.842280749000054)",10460
23354102,"July",4,2006,02:45:00,"QUEENS",105,0,"BAR/NIGHT CLUB",FALSE,"UNKNOWN","M","BLACK","25-44","M","BLACK",1057465.5,204039.125,40.7264221900001,-73.735848117,"POINT (-73.73584811699999 40.72642219000005)",11428
25865878,"December",19,2006,10:05:00,"QUEENS",101,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",1051005.375,156784.421875,40.5967700630001,-73.7596232389999,"POINT (-73.75962323899995 40.596770063000065)",11691
66112200,"September",24,2009,19:59:00,"BROOKLYN",69,0,"GROCERY/BODEGA",FALSE,"UNKNOWN","M","BLACK","18-24","M","BLACK",1012915.5625,170622.09375,40.63495663,-73.896721186,"POINT (-73.89672118599998 40.63495663000003)",11236
26737159,"February",6,2007,20:25:00,"BRONX",47,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK",1026714.5625,257137.078125,40.8723624190001,-73.8464579659999,"POINT (-73.84645796599995 40.87236241900007)",10469
35158623,"October",19,2007,22:08:00,"BROOKLYN",81,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1005312.4375,190540.109375,40.689648511,-73.9240525429999,"POINT (-73.92405254299996 40.68964851100003)",11221
55925856,"January",22,2009,12:43:00,"BRONX",46,0,"MULTI DWELL - APT BUILD",TRUE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1005638.5,248318.546875,40.8482344400001,-73.922692935,"POINT (-73.92269293499999 40.848234440000056)",10453
35552370,"November",7,2007,16:34:00,"BRONX",50,0,"FAST FOOD",FALSE,"18-24","M","WHITE HISPANIC","18-24","M","BLACK HISPANIC",1009118.875,257822.578125,40.8743110180001,-73.910077899,"POINT (-73.91007789899999 40.87431101800007)",10463
28907939,"May",8,2007,12:40:00,"BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"UNKNOWN","U","UNKNOWN","45-64","F","BLACK HISPANIC",1021152.8125,182356.640625,40.667134892,-73.866978721,"POINT (-73.86697872099995 40.667134892000036)",11208
32272870,"June",15,2007,02:56:00,"QUEENS",106,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE",1028088.875,176204.5625,40.6502171870001,-73.842016499,"POINT (-73.84201649899995 40.65021718700007)",11414
66027258,"September",22,2009,15:22:00,"BRONX",40,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","25-44","M","WHITE HISPANIC",1007037.3125,235668.96875,40.813511487,-73.9176799099999,"POINT (-73.91767990999995 40.81351148700003)",10455
62267916,"May",30,2009,22:45:00,"STATEN ISLAND",120,0,NA,FALSE,"<18","M","BLACK","<18","M","BLACK",941044.375,170200.671875,40.633740921,-74.155665858,"POINT (-74.15566585799996 40.633740921000026)",10303
35339141,"October",28,2007,18:26:00,"BROOKLYN",73,0,NA,TRUE,"<18","M","BLACK","18-24","M","BLACK",1008276,183623,40.670655072,-73.91339092,"POINT (-73.91339091999998 40.670655072000045)",11212
46715560,"May",25,2008,05:10:00,"BROOKLYN",67,0,NA,FALSE,"25-44","M","BLACK","18-24","M","BLACK",1001502.625,177317.90625,40.6533647730001,-73.937824156,"POINT (-73.93782415599998 40.65336477300008)",11203
28742775,"April",27,2007,21:15:00,"MANHATTAN",28,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",997394,231916,40.803230236,-73.952524721,"POINT (-73.95252472099997 40.80323023600005)",10026
67536923,"November",5,2009,23:29:00,"QUEENS",100,0,NA,FALSE,"18-24","M","BLACK","25-44","M","BLACK",1034076.4375,152331.625,40.5846593900001,-73.820614974,"POINT (-73.82061497399998 40.58465939000007)",11694
37401646,"January",1,2008,03:40:00,"BRONX",48,0,"MULTI DWELL - APT BUILD",TRUE,"25-44","M","BLACK","25-44","M","BLACK",1017838.5,247121.640625,40.8449113080001,-73.878602198,"POINT (-73.87860219799995 40.844911308000064)",10460
35265783,"October",24,2007,18:07:00,"BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"UNKNOWN","M","BLACK","25-44","M","BLACK",998205.25,190418.875,40.6893298100001,-73.949680547,"POINT (-73.94968054699996 40.68932981000006)",11216
46248079,"May",7,2008,16:20:00,"BRONX",47,0,NA,FALSE,"<18","M","BLACK","25-44","M","BLACK",1024277.6875,258898.21875,40.8772075890001,-73.855258686,"POINT (-73.85525868599996 40.87720758900008)",10469
54915039,"December",15,2008,18:30:00,"BRONX",47,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"18-24","M","BLACK","25-44","M","BLACK",1026115.75,261839.96875,40.8852732400001,-73.8485937579999,"POINT (-73.84859375799994 40.88527324000006)",10466
65953625,"September",20,2009,04:00:00,"BROOKLYN",69,0,"COMMERCIAL BLDG",FALSE,"UNKNOWN","U","UNKNOWN","18-24","F","BLACK HISPANIC",1011488.625,174178.953125,40.644723947,-73.90184799,"POINT (-73.90184798999996 40.644723947000045)",11236
44338541,"March",7,2008,04:45:00,"BROOKLYN",71,0,"GROCERY/BODEGA",TRUE,NA,NA,NA,"18-24","M","BLACK",996148.4375,181561.96875,40.6650226040001,-73.957112791,"POINT (-73.95711279099999 40.66502260400006)",11225
65636446,"September",10,2009,17:47:00,"BROOKLYN",81,0,"MULTI DWELL - APT BUILD",FALSE,"25-44","M","BLACK","18-24","M","BLACK",1004426.0625,187538.546875,40.6814119740001,-73.927257702,"POINT (-73.92725770199996 40.68141197400007)",11233
10879209,"March",31,2006,01:13:00,"MANHATTAN",23,0,"RESTAURANT/DINER",FALSE,"25-44","M","WHITE HISPANIC","18-24","M","BLACK",996856.375,226458,40.7882502890001,-73.954476891,"POINT (-73.95447689099996 40.788250289000075)",10029
12835945,"May",7,2006,11:34:00,"BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","18-24","M","BLACK",1012339.1875,182681.546875,40.6680590350001,-73.898747606,"POINT (-73.89874760599999 40.668059035000056)",11207
28523998,"April",18,2007,03:30:00,"BROOKLYN",70,0,NA,FALSE,"UNKNOWN","M","BLACK","18-24","M","BLACK",991547,168934,40.6303665450001,-73.973712613,"POINT (-73.97371261299998 40.63036654500007)",11230
65270101,"August",31,2009,00:50:00,"BROOKLYN",70,0,"MULTI DWELL - APT BUILD",FALSE,"<18","M","BLACK","<18","M","BLACK",995946.4375,172082.921875,40.6390049520001,-73.9578573489999,"POINT (-73.95785734899994 40.63900495200005)",11226
49255311,"July",26,2008,00:30:00,"BROOKLYN",75,0,NA,FALSE,"UNKNOWN","M","BLACK","18-24","M","BLACK",1017141,183798,40.671106911,-73.881432957,"POINT (-73.88143295699996 40.67110691100004)",11208
35803763,"November",18,2007,08:43:00,"MANHATTAN",32,0,"MULTI DWELL - APT BUILD",TRUE,NA,NA,NA,"25-44","M","BLACK",1000842.1875,239097.546875,40.8229357770001,-73.9400519599999,"POINT (-73.94005195999995 40.822935777000055)",10039
28250387,"April",2,2007,21:20:00,"MANHATTAN",32,0,"MULTI DWELL - APT BUILD",TRUE,"25-44","M","BLACK","25-44","M","BLACK",998500.5625,236584.25,40.8160415730001,-73.9485178579999,"POINT (-73.94851785799995 40.81604157300007)",10027
55020825,"December",18,2008,21:50:00,"BRONX",41,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1005293.9375,237196.609375,40.817708757,-73.9239732409999,"POINT (-73.92397324099994 40.81770875700005)",10451
44365062,"March",8,2008,02:59:00,"MANHATTAN",28,0,NA,FALSE,"18-24","M","BLACK","<18","M","BLACK",997641.625,231157.21875,40.801147218,-73.951631801,"POINT (-73.95163180099996 40.80114721800004)",10026
25424624,"November",21,2006,17:40:00,"BRONX",40,0,NA,FALSE,"UNKNOWN","M","UNKNOWN","18-24","M","WHITE HISPANIC",1007580,235710,40.813622691,-73.915719254,"POINT (-73.91571925399995 40.813622691000035)",10455
29277329,"May",26,2007,02:32:00,"BROOKLYN",77,0,NA,FALSE,"UNKNOWN","M","BLACK","25-44","M","BLACK",1005815.5625,184239.734375,40.6723542040001,-73.922258491,"POINT (-73.92225849099998 40.672354204000044)",11233
26069302,"January",3,2007,02:00:00,"MANHATTAN",25,2,"MULTI DWELL - APT BUILD",TRUE,"18-24","M","WHITE HISPANIC","<18","M","BLACK HISPANIC",1000597.875,231061.71875,40.800880121,-73.940954259,"POINT (-73.94095425899997 40.800880121000034)",10035
16631436,"May",20,2006,23:39:00,"MANHATTAN",32,0,"NONE",FALSE,"<18","M","BLACK","<18","M","BLACK",1001779.3125,238874.53125,40.8223218520001,-73.936666604,"POINT (-73.93666660399998 40.82232185200007)",10039
11118846,"April",14,2006,19:35:00,"BROOKLYN",78,0,"CLOTHING BOUTIQUE",FALSE,"25-44","M","BLACK","25-44","M","BLACK",990611.875,188299.203125,40.6835205090001,-73.977063313,"POINT (-73.97706331299997 40.68352050900006)",11217
54120278,"November",17,2008,18:41:00,"BROOKLYN",67,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK",999575.5,173301.21875,40.6423433800001,-73.944778507,"POINT (-73.94477850699997 40.64234338000006)",11203
35480308,"November",4,2007,20:16:00,"BROOKLYN",83,0,"MULTI DWELL - APT BUILD",FALSE,"25-44","M","BLACK HISPANIC","18-24","F","BLACK HISPANIC",1002736.75,193115.84375,40.6967240600001,-73.9333331249999,"POINT (-73.93333312499993 40.696724060000065)",11221
33500102,"August",1,2007,19:45:00,"BROOKLYN",71,0,NA,FALSE,"UNKNOWN","M","BLACK","18-24","M","BLACK",999108.8125,180134.03125,40.661098758,-73.946445086,"POINT (-73.94644508599998 40.66109875800004)",11225
49255321,"July",27,2008,01:41:00,"BRONX",42,0,"MULTI DWELL - PUBLIC HOUS",FALSE,"UNKNOWN","U","UNKNOWN","<18","M","BLACK",1010466.5625,243220.21875,40.834228008,-73.905261893,"POINT (-73.90526189299999 40.834228008000025)",10456
26947144,"February",17,2007,03:11:00,"BROOKLYN",73,0,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",1007699.98,180316.88,40.6615820540001,-73.9154788929999,"POINT (-73.91547889299994 40.661582054000064)",11212
34627194,"September",25,2007,19:14:00,"BRONX",47,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK",1026387,262634,40.887451313,-73.847607787,"POINT (-73.84760778699996 40.88745131300004)",10466
37506071,"January",6,2008,04:00:00,"QUEENS",105,0,NA,FALSE,"UNKNOWN","M","BLACK","18-24","M","BLACK",1054163,195606.171875,40.7033025580001,-73.747850678,"POINT (-73.74785067799996 40.703302558000075)",11429
63214334,"June",28,2009,18:03:00,"BRONX",43,0,NA,FALSE,"UNKNOWN","U","UNKNOWN","<18","M","BLACK",1017299.4375,241134.375,40.8284800440001,-73.880580035,"POINT (-73.88058003499998 40.82848004400006)",10472
45768236,"April",17,2008,08:52:00,"QUEENS",105,0,NA,TRUE,NA,NA,NA,"25-44","M","BLACK",1057636,203954,40.72618713,-73.735233904,"POINT (-73.73523390399998 40.72618713000003)",11428
50479068,"August",23,2008,19:20:00,"MANHATTAN",1,0,NA,FALSE,"UNKNOWN","U","UNKNOWN","18-24","M","BLACK",982891.1875,200598.75,40.717282077,-74.0049032109999,"POINT (-74.00490321099994 40.71728207700005)",10013
24675454,"October",6,2006,11:07:00,"BROOKLYN",75,0,"SMALL MERCHANT",TRUE,"18-24","M","BLACK","45-64","M","WHITE HISPANIC",1019563.4375,181277.4375,40.6641792030001,-73.872713548,"POINT (-73.87271354799998 40.66417920300006)",11208
24103846,"August",31,2006,20:00:00,"BROOKLYN",79,0,NA,FALSE,"UNKNOWN","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",999003,193546,40.6979117500001,-73.946797112,"POINT (-73.94679711199996 40.69791175000007)",11206
50142670,"August",16,2008,23:12:00,"MANHATTAN",32,0,NA,FALSE,"UNKNOWN","U","UNKNOWN","18-24","M","BLACK HISPANIC",999358,236472,40.815732053,-73.945420411,"POINT (-73.94542041099999 40.81573205300003)",10030
