"","incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
"1",165724972,"June",9,2017,23:18:00,"QUEENS",113,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1045670.0625,193206.921875,40.6967802230001,-73.7785033549999,"POINT (-73.77850335499994 40.696780223000076)",11433
"2",161486738,"January",31,2017,22:45:00,"QUEENS",102,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",1024875.875,191367.953125,40.6918525730001,-73.8535039829999,"POINT (-73.85350398299994 40.69185257300006)",11421
"3",169761300,"September",26,2017,17:56:00,"BRONX",50,0,NA,FALSE,"18-24","M","BLACK","25-44","M","WHITE HISPANIC",1012316.9375,256662.203125,40.8711165560001,-73.898518871,"POINT (-73.89851887099996 40.87111655600006)",10468
"4",163520830,"April",6,2017,01:00:00,"BRONX",48,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1016276.125,250654.09375,40.8546126460001,-73.884232227,"POINT (-73.88423222699998 40.85461264600008)",10458
"5",171826202,"November",20,2017,15:00:00,"QUEENS",112,0,NA,FALSE,"<18","M","ASIAN / PACIFIC ISLANDER","<18","M","WHITE",1024295.0625,204430.53125,40.727708856,-73.855520707,"POINT (-73.85552070699998 40.72770885600005)",11374
"6",166413153,"June",25,2017,01:49:00,"BRONX",47,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",1021536.125,259073.828125,40.877701589,-73.865171365,"POINT (-73.86517136499998 40.877701589000026)",10467
"7",165721033,"June",11,2017,11:25:00,"BROOKLYN",77,0,NA,FALSE,"25-44","F","WHITE","25-44","M","BLACK",1004393,181589,40.665081882,-73.9273946869999,"POINT (-73.92739468699995 40.66508188200004)",11212
"8",163631341,"April",8,2017,00:56:00,"BROOKLYN",77,0,NA,FALSE,NA,NA,NA,"45-64","F","BLACK",1005328.125,183149.640625,40.6693633150001,-73.92401909,"POINT (-73.92401908999994 40.669363315000055)",11233
"9",167036161,"July",14,2017,03:26:00,"BROOKLYN",70,0,NA,FALSE,"25-44","M","BLACK","18-24","M","ASIAN / PACIFIC ISLANDER",993625,177253,40.653198462,-73.966214667,"POINT (-73.96621466699997 40.653198462000034)",11226
"10",171509879,"November",12,2017,02:45:00,"STATEN ISLAND",120,0,"MULTI DWELL - APT BUILD",FALSE,"18-24","M","BLACK","<18","F","BLACK",962309.5625,165151.828125,40.619961109,-74.0790337189999,"POINT (-74.07903371899994 40.61996110900003)",10304
"11",164781320,"May",14,2017,12:41:00,"BROOKLYN",75,0,NA,FALSE,"18-24","M","BLACK","18-24","M","ASIAN / PACIFIC ISLANDER",1017445.3125,184209.140625,40.6722342630001,-73.880333921,"POINT (-73.88033392099999 40.672234263000064)",11208
"12",169924415,"October",1,2017,18:06:00,"QUEENS",105,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1057535.375,181652.4375,40.664975622,-73.735839582,"POINT (-73.73583958199998 40.66497562200004)",11422
"13",162097560,"February",20,2017,14:50:00,"BROOKLYN",67,0,NA,TRUE,"<18","M","BLACK","<18","M","BLACK",1004776.375,178384.203125,40.656284541,-73.926022543,"POINT (-73.92602254299999 40.65628454100005)",11203
"14",160296907,"January",14,2017,08:00:00,"BRONX",46,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1007363,251994.953125,40.8583207340001,-73.9164470759999,"POINT (-73.91644707599994 40.858320734000074)",10468
"15",163422744,"April",3,2017,14:57:00,"QUEENS",113,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",1041947,187127.90625,40.6801198200001,-73.791981777,"POINT (-73.79198177699999 40.68011982000007)",11434
"16",164301446,"April",29,2017,00:04:00,"MANHATTAN",24,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK HISPANIC","25-44","M","BLACK",993290.3125,230079.125,40.7981936670001,-73.9673498989999,"POINT (-73.96734989899994 40.798193667000085)",10025
"17",171339303,"November",7,2017,23:35:00,"BRONX",41,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1012345.75,236786.8125,40.8165643680001,-73.898497963,"POINT (-73.89849796299995 40.816564368000066)",10455
"18",170599535,"October",20,2017,14:34:00,"BROOKLYN",67,0,NA,FALSE,"<18","U","UNKNOWN","18-24","M","BLACK",998589.75,177083.703125,40.652727132,-73.948322455,"POINT (-73.94832245499998 40.65272713200005)",11226
"19",164887362,"May",16,2017,16:30:00,"BRONX",46,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","<18","M","WHITE HISPANIC",1005622.75,248047.015625,40.847489206,-73.922750729,"POINT (-73.92275072899997 40.847489206000034)",10453
"20",162178919,"February",22,2017,19:14:00,"BROOKLYN",81,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",1005084.75,191071.5,40.6911075940001,-73.924871916,"POINT (-73.92487191599997 40.69110759400007)",11221
"21",168306060,"August",18,2017,21:26:00,"QUEENS",103,0,NA,TRUE,"25-44","M","BLACK","18-24","M","BLACK",1041906.5625,194066.890625,40.6991659500001,-73.7920681849999,"POINT (-73.79206818499995 40.699165950000065)",11433
"22",161767500,"February",8,2017,21:00:00,"BRONX",44,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK",1007410.75,242801.890625,40.8330883610001,-73.9163062099999,"POINT (-73.91630620999996 40.83308836100008)",10456
"23",167343475,"July",23,2017,21:01:00,"BRONX",48,0,NA,FALSE,"25-44","M","WHITE","45-64","M","WHITE HISPANIC",1017356,245369,40.840102648,-73.880354752,"POINT (-73.88035475199996 40.84010264800003)",10460
"24",166660834,"July",2,2017,00:33:00,"BRONX",42,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",1015903.9375,243744.28125,40.835648593,-73.8856102399999,"POINT (-73.88561023999995 40.83564859300003)",10460
"25",160071567,"January",6,2017,17:36:00,"BRONX",48,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1017490.375,245503.09375,40.8404701910001,-73.8798684499999,"POINT (-73.87986844999995 40.840470191000065)",10460
"26",166188250,"June",18,2017,00:20:00,"BROOKLYN",69,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1013623.625,173783.046875,40.643630446,-73.894156322,"POINT (-73.89415632199996 40.64363044600003)",11236
"27",167581878,"July",29,2017,04:20:00,"BROOKLYN",73,0,NA,FALSE,"18-24","M","BLACK","25-44","F","BLACK",1010862.125,178621.234375,40.6569189420001,-73.9040880329999,"POINT (-73.90408803299994 40.65691894200006)",11212
"28",166660833,"June",30,2017,14:54:00,"BRONX",44,0,"HOSPITAL",TRUE,"45-64","M","BLACK","25-44","M","WHITE HISPANIC",1008668.75,246692.140625,40.843762575,-73.911746056,"POINT (-73.91174605599997 40.84376257500003)",10453
"29",161644004,"February",5,2017,17:12:00,"BROOKLYN",69,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK",1009382.5625,171207.296875,40.6365736160001,-73.909448177,"POINT (-73.90944817699994 40.636573616000085)",11236
"30",166585773,"June",30,2017,01:15:00,"BRONX",42,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1012859.5,244801.09375,40.838559623,-73.89660773,"POINT (-73.89660772999997 40.83855962300004)",10457
"31",172712526,"December",15,2017,18:50:00,"MANHATTAN",24,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK HISPANIC",994726.25,229434.875,40.7964237900001,-73.962164625,"POINT (-73.96216462499996 40.79642379000006)",10025
"32",168378723,"August",22,2017,14:43:00,"QUEENS",114,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","M","BLACK",1002652.3125,215969.046875,40.7594506950001,-73.9335751369999,"POINT (-73.93357513699993 40.759450695000055)",11106
"33",168528144,"August",27,2017,02:12:00,"BROOKLYN",88,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",992374.0625,191533.03125,40.6923951850001,-73.970705739,"POINT (-73.97070573899998 40.692395185000066)",11205
"34",164781321,"May",13,2017,03:53:00,"BRONX",42,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1015667.375,243850.453125,40.8359408480001,-73.886464631,"POINT (-73.88646463099997 40.835940848000064)",10460
"35",171254027,"November",3,2017,16:12:00,"MANHATTAN",9,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","18-24","M","BLACK",990954.1875,203045.640625,40.7239957670001,-73.975814407,"POINT (-73.97581440699997 40.723995767000076)",10009
"36",172559733,"December",13,2017,02:58:00,"BRONX",40,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1004742.6875,235014.375,40.81172043,-73.925971477,"POINT (-73.92597147699996 40.81172043000004)",NA
"37",166660830,"July",2,2017,22:42:00,"BRONX",40,0,NA,FALSE,"25-44","M","BLACK HISPANIC","<18","M","WHITE HISPANIC",1007961.5,235829.046875,40.813948425,-73.9143406219999,"POINT (-73.91434062199994 40.813948425000035)",10455
"38",169602973,"September",21,2017,20:11:00,"BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK HISPANIC","25-44","M","BLACK",993513.625,197321.046875,40.7082808170001,-73.966588469,"POINT (-73.96658846899999 40.70828081700006)",11249
