"","incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","new_georeferenced_column","zipcode"
"1",230162224,"June",27,2021,04:34:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1014210,182758,40.6682627490001,-73.8920035049999,"POINT (-73.89200350499993 40.668262749000064)",11207
"2",228561932,"May",21,2021,21:06:00,"BROOKLYN",77,0,NA,FALSE,"<18","M","BLACK","25-44","F","WHITE",994341,185941,40.67704431,-73.963621255,"POINT (-73.96362125499998 40.677044310000035)",11238
"3",233790860,"September",18,2021,23:17:00,"BRONX",44,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1010270,246284,40.8426377760001,-73.90596033,"POINT (-73.90596032999997 40.84263777600006)",10457
"4",225295736,"March",7,2021,06:15:00,"BROOKLYN",75,0,NA,FALSE,"25-44","M","WHITE HISPANIC","25-44","F","WHITE HISPANIC",1020492,187865,40.6822568150001,-73.869331114,"POINT (-73.86933111399996 40.68225681500007)",11208
"5",227647465,"May",1,2021,00:22:00,"BRONX",46,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",1011829,249524,40.851525886,-73.9003124929999,"POINT (-73.90031249299993 40.85152588600005)",10457
"6",222848394,"January",8,2021,05:50:00,"MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",998481,225704,40.7861782940001,-73.9486115889999,"POINT (-73.94861158899994 40.78617829400008)",10035
"7",229034592,"June",2,2021,14:30:00,"BRONX",48,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1014004,247798,40.846781467,-73.892458255,"POINT (-73.89245825499995 40.84678146700002)",10457
"8",225168411,"March",4,2021,11:40:00,"BRONX",49,0,NA,FALSE,"25-44","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC",1021657,251013,40.8555765770001,-73.864779265,"POINT (-73.86477926499998 40.85557657700008)",10462
"9",224173086,"February",9,2021,19:50:00,"QUEENS",113,0,"PVT HOUSE",FALSE,NA,NA,NA,"25-44","M","BLACK",1052651,193294,40.696968027,-73.753327365,"POINT (-73.75332736499998 40.696968027000025)",11412
"10",230232277,"June",29,2021,15:32:00,"MANHATTAN",34,0,"HOSPITAL",FALSE,NA,NA,NA,"18-24","M","BLACK",1008527,257284,40.872834434,-73.9122200149999,"POINT (-73.91222001499993 40.872834434000026)",10040
"11",227647476,"May",2,2021,18:18:00,"MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","M","BLACK",999876,225984,40.786944463,-73.9435734259999,"POINT (-73.94357342599994 40.78694446300005)",10029
"12",223202282,"January",16,2021,21:00:00,"BROOKLYN",63,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1000833,167012,40.6250785450001,-73.940262766,"POINT (-73.940262766 40.62507854500007)",11210
