"","year","month","day","county","state","cases","deaths"
"1",2020,3,1,"New York City","New York",1,0
"2",2020,3,2,"New York City","New York",1,0
"3",2020,3,3,"New York City","New York",2,0
"4",2020,3,4,"New York City","New York",2,0
"5",2020,3,5,"New York City","New York",4,0
"6",2020,3,6,"New York City","New York",5,0
"7",2020,3,7,"New York City","New York",12,0
"8",2020,3,8,"New York City","New York",14,0
"9",2020,3,9,"New York City","New York",20,0
"10",2020,3,10,"New York City","New York",37,0
"11",2020,3,11,"New York City","New York",52,0
"12",2020,3,12,"New York City","New York",96,0
"13",2020,3,13,"New York City","New York",155,0
"14",2020,3,14,"New York City","New York",269,1
"15",2020,3,15,"New York City","New York",330,5
"16",2020,3,16,"New York City","New York",464,7
"17",2020,3,17,"New York City","New York",646,11
"18",2020,3,18,"New York City","New York",1344,25
"19",2020,3,19,"New York City","New York",2477,31
"20",2020,3,20,"New York City","New York",4419,54
"21",2020,3,21,"New York City","New York",6226,75
"22",2020,3,22,"New York City","New York",9065,119
"23",2020,3,23,"New York City","New York",12329,155
"24",2020,3,24,"New York City","New York",14943,230
"25",2020,3,25,"New York City","New York",20061,330
"26",2020,3,26,"New York City","New York",23182,435
"27",2020,3,27,"New York City","New York",25509,560
"28",2020,3,28,"New York City","New York",30919,825
"29",2020,3,29,"New York City","New York",33983,991
"30",2020,3,30,"New York City","New York",38375,1202
"31",2020,3,31,"New York City","New York",43518,1475
"32",2020,4,1,"New York City","New York",47914,1848
"33",2020,4,2,"New York City","New York",52400,2152
"34",2020,4,3,"New York City","New York",57941,2648
"35",2020,4,4,"New York City","New York",64274,3221
"36",2020,4,5,"New York City","New York",68726,3646
"37",2020,4,6,"New York City","New York",73553,4857
"38",2020,4,7,"New York City","New York",78498,5631
"39",2020,4,8,"New York City","New York",83673,6441
"40",2020,4,9,"New York City","New York",89127,7249
"41",2020,4,10,"New York City","New York",94702,7981
"42",2020,4,11,"New York City","New York",100840,8734
"43",2020,4,12,"New York City","New York",105939,9448
"44",2020,4,13,"New York City","New York",109706,10096
"45",2020,4,14,"New York City","New York",113632,10857
"46",2020,4,15,"New York City","New York",121653,11566
"47",2020,4,16,"New York City","New York",126623,12109
"48",2020,4,17,"New York City","New York",131003,12283
"49",2020,4,18,"New York City","New York",135052,12411
"50",2020,4,19,"New York City","New York",138370,13632
"51",2020,4,20,"New York City","New York",140881,14074
"52",2020,4,21,"New York City","New York",143547,14513
"53",2020,4,22,"New York City","New York",146787,14959
"54",2020,4,23,"New York City","New York",150327,15361
"55",2020,4,24,"New York City","New York",155081,15754
"56",2020,4,25,"New York City","New York",159851,16146
"57",2020,4,26,"New York City","New York",163106,16486
"58",2020,4,27,"New York City","New York",165463,16821
"59",2020,4,28,"New York City","New York",167487,17206
"60",2020,4,29,"New York City","New York",170124,17597
"61",2020,4,30,"New York City","New York",172784,17809
"62",2020,5,1,"New York City","New York",174931,17931
"63",2020,5,2,"New York City","New York",177490,18021
"64",2020,5,3,"New York City","New York",179728,18451
"65",2020,5,4,"New York City","New York",181034,18580
"66",2020,5,5,"New York City","New York",182318,18719
"67",2020,5,6,"New York City","New York",183770,18993
"68",2020,5,7,"New York City","New York",185653,19141
"69",2020,5,8,"New York City","New York",187157,19210
"70",2020,5,9,"New York City","New York",188663,19324
"71",2020,5,10,"New York City","New York",189656,19436
"72",2020,5,11,"New York City","New York",190546,19563
"73",2020,5,12,"New York City","New York",191320,19736
"74",2020,5,13,"New York City","New York",192394,19815
"75",2020,5,14,"New York City","New York",193663,19904
"76",2020,5,15,"New York City","New York",195472,19972
"77",2020,5,16,"New York City","New York",196481,20071
"78",2020,5,17,"New York City","New York",197486,20214
"79",2020,5,18,"New York City","New York",198114,20298
"80",2020,5,19,"New York City","New York",198710,20376
"81",2020,5,20,"New York City","New York",199392,20422
"82",2020,5,21,"New York City","New York",200507,20491
"83",2020,5,22,"New York City","New York",201298,20569
"84",2020,5,23,"New York City","New York",202062,20621
"85",2020,5,24,"New York City","New York",202931,20697
"86",2020,5,25,"New York City","New York",203569,20740
"87",2020,5,26,"New York City","New York",204111,20795
"88",2020,5,27,"New York City","New York",204781,20844
"89",2020,5,28,"New York City","New York",205854,20895
"90",2020,5,29,"New York City","New York",206800,20960
"91",2020,5,30,"New York City","New York",207539,20991
"92",2020,5,31,"New York City","New York",208085,21050
"93",2020,6,1,"New York City","New York",208550,21090
"94",2020,6,2,"New York City","New York",209195,21132
"95",2020,6,3,"New York City","New York",209688,21170
"96",2020,6,4,"New York City","New York",210227,21234
"97",2020,6,5,"New York City","New York",210728,21262
"98",2020,6,6,"New York City","New York",211274,21294
"99",2020,6,7,"New York City","New York",211728,21323
"100",2020,6,8,"New York City","New York",212122,21356
"101",2020,6,9,"New York City","New York",212469,21396
"102",2020,6,10,"New York City","New York",212884,21436
"103",2020,6,11,"New York City","New York",213271,21468
"104",2020,6,12,"New York City","New York",213707,21519
"105",2020,6,13,"New York City","New York",214242,21551
"106",2020,6,14,"New York City","New York",214627,21578
"107",2020,6,15,"New York City","New York",215011,21600
"108",2020,6,16,"New York City","New York",215342,21619
"109",2020,6,17,"New York City","New York",215686,21645
"110",2020,6,18,"New York City","New York",216013,21673
"111",2020,6,19,"New York City","New York",216421,21710
"112",2020,6,20,"New York City","New York",216803,21719
"113",2020,6,21,"New York City","New York",217189,21753
"114",2020,6,22,"New York City","New York",217487,21796
"115",2020,6,23,"New York City","New York",217803,21817
"116",2020,6,24,"New York City","New York",218089,21838
"117",2020,6,25,"New York City","New York",218429,21856
"118",2020,6,26,"New York City","New York",218799,21893
"119",2020,6,27,"New York City","New York",219157,21913
"120",2020,6,28,"New York City","New York",219481,21940
"121",2020,6,29,"New York City","New York",219670,21941
"122",2020,6,30,"New York City","New York",219844,22566
"123",2020,7,1,"New York City","New York",220143,22574
"124",2020,7,2,"New York City","New York",220567,22593
"125",2020,7,3,"New York City","New York",221028,22610
"126",2020,7,4,"New York City","New York",221395,22630
"127",2020,7,5,"New York City","New York",221637,22661
"128",2020,7,6,"New York City","New York",221882,22672
"129",2020,7,7,"New York City","New York",222156,22690
"130",2020,7,8,"New York City","New York",222444,22696
"131",2020,7,9,"New York City","New York",222723,22719
"132",2020,7,10,"New York City","New York",223078,22739
"133",2020,7,11,"New York City","New York",223382,22750
"134",2020,7,12,"New York City","New York",223725,22755
"135",2020,7,13,"New York City","New York",223977,22795
"136",2020,7,14,"New York City","New York",224293,22808
"137",2020,7,15,"New York City","New York",224662,22825
"138",2020,7,16,"New York City","New York",225045,22842
"139",2020,7,17,"New York City","New York",225414,22848
"140",2020,7,18,"New York City","New York",225799,22859
"141",2020,7,19,"New York City","New York",226104,22872
"142",2020,7,20,"New York City","New York",226388,22882
"143",2020,7,21,"New York City","New York",226779,22895
"144",2020,7,22,"New York City","New York",227130,22899
"145",2020,7,23,"New York City","New York",227517,22934
"146",2020,7,24,"New York City","New York",227882,22936
"147",2020,7,25,"New York City","New York",228220,22947
"148",2020,7,26,"New York City","New York",228445,22956
"149",2020,7,27,"New York City","New York",228740,22970
"150",2020,7,28,"New York City","New York",228939,22977
"151",2020,7,29,"New York City","New York",229237,22982
"152",2020,7,30,"New York City","New York",229551,22996
"153",2020,7,31,"New York City","New York",229834,23002
"154",2020,8,1,"New York City","New York",230147,23007
"155",2020,8,2,"New York City","New York",230410,23012
"156",2020,8,3,"New York City","New York",230648,23021
"157",2020,8,4,"New York City","New York",230964,23027
"158",2020,8,5,"New York City","New York",231268,23034
"159",2020,8,6,"New York City","New York",231600,23563
"160",2020,8,7,"New York City","New York",231942,23567
"161",2020,8,8,"New York City","New York",232271,23575
"162",2020,8,9,"New York City","New York",232517,23580
"163",2020,8,10,"New York City","New York",232756,23586
"164",2020,8,11,"New York City","New York",233030,23592
"165",2020,8,12,"New York City","New York",233422,23602
"166",2020,8,13,"New York City","New York",233859,23610
"167",2020,8,14,"New York City","New York",234223,23615
"168",2020,8,15,"New York City","New York",234609,23621
"169",2020,8,16,"New York City","New York",234918,23628
"170",2020,8,17,"New York City","New York",235155,23634
"171",2020,8,18,"New York City","New York",235446,23642
"172",2020,8,19,"New York City","New York",235714,23643
"173",2020,8,20,"New York City","New York",235985,23639
"174",2020,8,21,"New York City","New York",236269,23641
"175",2020,8,22,"New York City","New York",236534,23646
"176",2020,8,23,"New York City","New York",236822,23658
"177",2020,8,24,"New York City","New York",237032,23662
"178",2020,8,25,"New York City","New York",237263,23666
"179",2020,8,26,"New York City","New York",237525,23669
"180",2020,8,27,"New York City","New York",237838,23674
"181",2020,8,28,"New York City","New York",238107,23680
"182",2020,8,29,"New York City","New York",238385,23683
"183",2020,8,30,"New York City","New York",238677,23689
"184",2020,8,31,"New York City","New York",238938,23695
"185",2020,9,1,"New York City","New York",239246,23703
"186",2020,9,2,"New York City","New York",239512,23708
"187",2020,9,3,"New York City","New York",239815,23710
"188",2020,9,4,"New York City","New York",240139,23716
"189",2020,9,5,"New York City","New York",240416,23721
"190",2020,9,6,"New York City","New York",240711,23721
"191",2020,9,7,"New York City","New York",240919,23736
"192",2020,9,8,"New York City","New York",241141,23744
"193",2020,9,9,"New York City","New York",241351,23741
"194",2020,9,10,"New York City","New York",241686,23741
"195",2020,9,11,"New York City","New York",241936,23739
