"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
77673979,"March",11,2011,12:03:00,"QUEENS",106,0,NA,FALSE,NA,NA,NA,"65+","M","WHITE",1027543,186095,40.677366895,-73.843920192,"POINT (-73.84392019199998 40.677366895000034)",11417
80584527,"September",4,2011,03:35:00,"BRONX",40,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1007453,233952,40.808797805,-73.916184132,"POINT (-73.91618413199996 40.80879780500004)",10454
90843766,"May",27,2013,21:16:00,"QUEENS",100,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1041267.375,157133.515625,40.5977962490001,-73.794685538,"POINT (-73.79468553799995 40.597796249000055)",11692
92393427,"September",1,2013,04:17:00,"BROOKLYN",67,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1001693.9375,170112.890625,40.6335881810001,-73.937153307,"POINT (-73.93715330699996 40.63358818100005)",11210
73057167,"June",5,2010,21:16:00,"BROOKLYN",77,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1001506.75,184055.65625,40.671858398,-73.937792046,"POINT (-73.93779204599997 40.67185839800004)",11233
82333894,"December",26,2011,03:00:00,"BROOKLYN",71,0,NA,FALSE,NA,NA,NA,"<18","F","BLACK",995908,183618,40.6706662720001,-73.957975908,"POINT (-73.95797590799998 40.67066627200006)",11225
87821868,"November",25,2012,01:20:00,"BRONX",46,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1011263.6875,251671.5,40.8574218790001,-73.902347256,"POINT (-73.90234725599998 40.85742187900007)",10453
84768970,"May",16,2012,22:10:00,"BRONX",46,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1006593.1875,247400.640625,40.845712695,-73.919245287,"POINT (-73.91924528699997 40.84571269500003)",10452
75736915,"November",27,2010,22:51:00,"BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",998273.375,193028.640625,40.6964929050001,-73.9494294639999,"POINT (-73.94942946399993 40.69649290500007)",11206
74100030,"August",11,2010,00:57:00,"QUEENS",113,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1044357.3125,192093.4375,40.6937329880001,-73.783247419,"POINT (-73.78324741899996 40.69373298800008)",11433
