"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
137564752,"July",4,2014,00:25:00,"QUEENS",101,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1051520.375,155790.40625,40.5940378070001,-73.757778692,"POINT (-73.75777869199999 40.59403780700006)",11691
137207148,"June",12,2014,08:56:00,"BROOKLYN",73,2,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",1009968.25,182502.453125,40.667574668,-73.9072948629999,"POINT (-73.90729486299995 40.66757466800004)",11212
94629910,"January",26,2014,01:22:00,"BRONX",49,0,NA,FALSE,"18-24","M","BLACK","25-44","M","BLACK",1020762,245865.328125,40.841451497,-73.868042617,"POINT (-73.86804261699996 40.84145149700004)",10460
136802069,"May",17,2014,21:17:00,"BRONX",45,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1032091,241976,40.830722328,-73.827126059,"POINT (-73.82712605899997 40.830722328000036)",10465
138826417,"September",22,2014,16:12:00,"BROOKLYN",73,0,NA,FALSE,"18-24","M","BLACK","<18","M","BLACK",1010492,179121.765625,40.658293895,-73.905420061,"POINT (-73.90542006099997 40.65829389500004)",11212
138579730,"September",6,2014,01:40:00,"BRONX",47,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1021067.8125,256159.453125,40.8697045000001,-73.866880839,"POINT (-73.86688083899998 40.86970450000007)",10467
138750340,"September",17,2014,15:12:00,"BRONX",40,0,NA,FALSE,"<18","M","BLACK","<18","M","BLACK",1008456.25,233097.4375,40.806449576,-73.912563126,"POINT (-73.91256312599995 40.806449576000034)",10454
95301721,"March",11,2014,03:35:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1014659,185797,40.676602587,-73.8903712709999,"POINT (-73.89037127099994 40.67660258700005)",11207
94562521,"January",21,2014,23:15:00,"BROOKLYN",67,0,"PVT HOUSE",FALSE,NA,NA,NA,"25-44","M","BLACK HISPANIC",1007456.8125,178474.171875,40.6565248680001,-73.916361701,"POINT (-73.91636170099997 40.656524868000076)",11212
137276640,"June",16,2014,01:30:00,"BROOKLYN",77,0,NA,TRUE,NA,NA,NA,"45-64","M","BLACK",999248.9375,184867.84375,40.674091784,-73.945929495,"POINT (-73.94592949499997 40.67409178400004)",11213
94923071,"February",14,2014,02:06:00,"MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",999061.375,229911.671875,40.7977262650001,-73.946506508,"POINT (-73.94650650799997 40.79772626500005)",10029
136696664,"May",11,2014,20:54:00,"QUEENS",100,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1035329,152802,40.585943345,-73.816101923,"POINT (-73.81610192299996 40.58594334500003)",11693
137334596,"June",18,2014,23:47:00,"QUEENS",103,0,"PVT HOUSE",TRUE,"18-24","M","BLACK HISPANIC","<18","F","BLACK",1045473.375,195395.390625,40.7027884030001,-73.77919277,"POINT (-73.77919276999995 40.702788403000056)",11433
94985606,"February",19,2014,14:42:00,"BRONX",49,0,NA,FALSE,"18-24","M","BLACK HISPANIC","65+","F","BLACK",1021186.625,247214.578125,40.8451530240001,-73.866500542,"POINT (-73.866500542 40.84515302400007)",10461
136960567,"May",28,2014,00:35:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1019928,187370,40.6809004450001,-73.87136723,"POINT (-73.87136722999998 40.68090044500008)",11208
138154766,"August",10,2014,00:35:00,"BROOKLYN",90,0,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","BLACK",1000829,195753.703125,40.7039681460001,-73.940206503,"POINT (-73.94020650299996 40.70396814600008)",11206
137664733,"July",10,2014,21:35:00,"BROOKLYN",60,2,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","BLACK",984687.875,150503.21875,40.5797807960001,-73.998425105,"POINT (-73.99842510499997 40.57978079600008)",11224
138899430,"September",26,2014,23:50:00,"QUEENS",104,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1010589.75,195028.828125,40.7019548650001,-73.905005578,"POINT (-73.90500557799999 40.70195486500006)",11385
109548290,"April",11,2014,20:14:00,"STATEN ISLAND",122,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",956245.8125,153097.296875,40.586856798,-74.100826129,"POINT (-74.10082612899998 40.58685679800004)",10306
138265229,"August",17,2014,14:28:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1017228.625,176555.890625,40.6512286080001,-73.8811524989999,"POINT (-73.88115249899994 40.651228608000054)",11239
139917488,"December",2,2014,00:47:00,"BRONX",47,0,NA,TRUE,"18-24","M","BLACK","25-44","F","BLACK",1026480,262584,40.8873136340001,-73.847271758,"POINT (-73.84727175799998 40.887313634000066)",10466
95385218,"March",15,2014,22:50:00,"QUEENS",100,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1039534,156245,40.5953684410001,-73.800934559,"POINT (-73.80093455899998 40.59536844100006)",11692
140329777,"December",27,2014,05:45:00,"BRONX",50,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1012323,261480,40.8843398920001,-73.898476762,"POINT (-73.89847676199997 40.88433989200007)",10463
109659974,"April",18,2014,20:54:00,"BROOKLYN",69,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1009844,171082,40.6362283820001,-73.907786083,"POINT (-73.90778608299996 40.63622838200007)",11236
136486600,"April",28,2014,21:05:00,"BRONX",46,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1011486.8125,252148.171875,40.8587295150001,-73.901538725,"POINT (-73.90153872499997 40.85872951500006)",10468
