"","incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode"
"1",203350417,"October",6,2019,01:09:00,"BROOKLYN",77,0,NA,FALSE,NA,NA,NA,"18-24","F","BLACK",995325,185155,40.674885741,-73.960075019,"POINT (-73.96007501899999 40.674885741000026)",11238
"2",194677549,"March",13,2019,21:17:00,"STATEN ISLAND",122,0,NA,TRUE,"18-24","M","WHITE","45-64","M","WHITE",953944.125,154833.859375,40.591615742,-74.109120775,"POINT (-74.10912077499995 40.591615742000045)",10304
"3",202578454,"September",18,2019,00:30:00,"MANHATTAN",28,0,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",997405.8125,230838.46875,40.80027269,-73.9524841639999,"POINT (-73.95248416399994 40.80027269000004)",10026
"4",197700945,"May",28,2019,04:15:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1017588.75,180904,40.663161857,-73.879833181,"POINT (-73.87983318099998 40.663161857000034)",NA
"5",205280612,"November",16,2019,03:44:00,"BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","25-44","M","BLACK",995727.5625,190315.25,40.6890489420001,-73.958614955,"POINT (-73.95861495499997 40.68904894200006)",11238
"6",192545749,"January",19,2019,04:00:00,"QUEENS",109,0,NA,TRUE,NA,NA,NA,"25-44","M","BLACK",1030091.625,220250.328125,40.771102001,-73.8344991879999,"POINT (-73.83449918799994 40.77110200100003)",11354
"7",204458416,"November",1,2019,05:00:00,"BRONX",44,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"25-44","M","ASIAN / PACIFIC ISLANDER",1009312.125,246894.171875,40.8443152890001,-73.909419986,"POINT (-73.90941998599999 40.844315289000065)",10457
"8",203676930,"October",12,2019,18:02:00,"MANHATTAN",28,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",998252.9375,233407.78125,40.8073234460001,-73.949419088,"POINT (-73.94941908799996 40.807323446000055)",10027
"9",203676932,"October",13,2019,02:30:00,"BROOKLYN",81,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1002882.875,192219.703125,40.6942640560001,-73.9328086369999,"POINT (-73.93280863699994 40.694264056000065)",11221
"10",201858654,"September",2,2019,04:17:00,"QUEENS",102,0,NA,TRUE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1034150,193486,40.6976186790001,-73.820045756,"POINT (-73.82004575599996 40.69761867900008)",11418
"11",201034737,"August",12,2019,19:38:00,"MANHATTAN",25,0,NA,FALSE,"<18","M","BLACK","<18","M","BLACK",1001806,230242.640625,40.798629658,-73.9365927539999,"POINT (-73.93659275399995 40.79862965800004)",10035
"12",200155033,"July",23,2019,19:49:00,"BROOKLYN",69,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",1013937.375,169957.265625,40.633128454,-73.893042586,"POINT (-73.89304258599998 40.63312845400003)",11236
"13",201573938,"August",25,2019,00:59:00,"QUEENS",110,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1022838.8125,208240.34375,40.7381723170001,-73.860752931,"POINT (-73.86075293099998 40.73817231700008)",11368
"14",200668267,"August",4,2019,03:47:00,"MANHATTAN",26,0,NA,TRUE,"25-44","M","BLACK","25-44","M","BLACK",997306.3125,234541.984375,40.8104379690001,-73.952836345,"POINT (-73.95283634499998 40.81043796900008)",10040
"15",205719913,"November",27,2019,00:45:00,"BRONX",47,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1022778.4375,262630.5625,40.88745837,-73.8606585969999,"POINT (-73.86065859699994 40.88745837000005)",10466
"16",201858653,"September",2,2019,02:57:00,"BROOKLYN",70,0,NA,TRUE,NA,NA,NA,"45-64","F","WHITE HISPANIC",996636.5,172210.5,40.639354188,-73.9553707119999,"POINT (-73.95537071199993 40.63935418800003)",11226
"17",191949902,"January",5,2019,01:50:00,"BRONX",43,0,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",1025519,242145,40.8312193370001,-73.850873158,"POINT (-73.85087315799996 40.83121933700005)",10462
"18",203041424,"September",29,2019,00:35:00,"BRONX",47,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"25-44","M","BLACK","25-44","M","WHITE",1026854.8125,262287.34375,40.886497606,-73.8459180949999,"POINT (-73.84591809499994 40.88649760600004)",10466
"19",199247701,"July",3,2019,00:04:00,"QUEENS",114,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","M","WHITE HISPANIC",999925.3125,214506.8125,40.7554424910001,-73.9434221189999,"POINT (-73.94342211899993 40.75544249100005)",11101
"20",192978312,"January",31,2019,00:15:00,"MANHATTAN",33,0,NA,TRUE,NA,NA,NA,"18-24","M","BLACK HISPANIC",1000037.9375,243153.453125,40.834069554,-73.9429482639999,"POINT (-73.94294826399994 40.83406955400005)",10032
"21",197691092,"May",27,2019,20:50:00,"BROOKLYN",79,0,NA,FALSE,NA,NA,NA,"<18","M","BLACK",1000285.8125,186744.65625,40.6792413920001,-73.9421870429999,"POINT (-73.94218704299993 40.67924139200005)",11216
"22",194226976,"March",2,2019,21:30:00,"BROOKLYN",75,0,NA,FALSE,"18-24","M","BLACK","<18","M","WHITE HISPANIC",1017036,183890,40.6713598200001,-73.881811023,"POINT (-73.88181102299995 40.67135982000008)",11208
"23",204464564,"November",4,2019,13:40:00,"BRONX",40,0,NA,FALSE,"45-64","M","BLACK","25-44","M","WHITE HISPANIC",1008119.9375,238321.75,40.8207897670001,-73.913759382,"POINT (-73.91375938199997 40.820789767000065)",10451
"24",200099025,"July",22,2019,22:27:00,"BRONX",44,0,NA,FALSE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK",1010044.125,244313.171875,40.837229091,-73.906784264,"POINT (-73.90678426399995 40.83722909100004)",10456
"25",193939358,"February",22,2019,15:30:00,"QUEENS",101,0,NA,FALSE,"<18","M","BLACK","18-24","M","BLACK",1050836.75,157878.375,40.5997740020001,-73.760219652,"POINT (-73.76021965199999 40.59977400200006)",11691
"26",198552994,"June",15,2019,01:25:00,"MANHATTAN",32,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",1000312.875,234249.21875,40.8096294540001,-73.94197603,"POINT (-73.94197602999998 40.80962945400006)",10027
"27",198404597,"June",12,2019,19:37:00,"BROOKLYN",77,0,"GROCERY/BODEGA",TRUE,"25-44","M","BLACK","45-64","M","BLACK",1000434.875,185273.734375,40.6752037740001,-73.941653155,"POINT (-73.94165315499998 40.67520377400007)",11213
"28",205437642,"November",20,2019,23:11:00,"BRONX",44,0,"COMMERCIAL BLDG",FALSE,NA,NA,NA,"18-24","M","BLACK",1007188.1875,243232.9375,40.83427204,-73.917109002,"POINT (-73.91710900199996 40.83427204000003)",10456
"29",197573448,"May",23,2019,20:39:00,"BROOKLYN",75,0,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK",1018964.3125,182071.15625,40.666360153,-73.874869015,"POINT (-73.87486901499994 40.66636015300003)",11208
"30",204458420,"November",2,2019,00:24:00,"BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1000683.6875,198150.9375,40.7105482590001,-73.9407247459999,"POINT (-73.94072474599994 40.71054825900006)",11206
"31",201384510,"August",20,2019,22:11:00,"BROOKLYN",60,0,NA,TRUE,"25-44","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC",988124.0625,149736.25,40.5776747830001,-73.986055404,"POINT (-73.98605540399996 40.57767478300008)",11224
"32",201875866,"September",2,2019,23:44:00,"STATEN ISLAND",122,0,NA,TRUE,NA,NA,NA,"18-24","M","WHITE HISPANIC",951830,161855,40.6108798540001,-74.1167665839999,"POINT (-74.11676658399995 40.610879854000075)",10314
"33",192440376,"January",17,2019,13:20:00,"BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","WHITE HISPANIC",995727.5625,190315.25,40.6890489420001,-73.958614955,"POINT (-73.95861495499997 40.68904894200006)",11238
"34",197953466,"June",1,2019,21:25:00,"BRONX",42,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",1010705.5,243781.796875,40.835768665,-73.904396224,"POINT (-73.90439622399998 40.835768665000046)",10456
"35",206729524,"December",19,2019,16:20:00,"BROOKLYN",67,0,"MULTI DWELL - APT BUILD",TRUE,NA,NA,NA,"25-44","F","BLACK",1006159.6875,180446.515625,40.66194182,-73.921030262,"POINT (-73.92103026199999 40.66194182000004)",11212
"36",203980165,"October",19,2019,10:25:00,"QUEENS",103,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1037532.8125,196061.90625,40.704669203,-73.807825889,"POINT (-73.80782588899996 40.70466920300004)",11435
"37",197706724,"May",28,2019,03:10:00,"BRONX",40,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC",1006698.75,233128.171875,40.8065385740001,-73.9189114979999,"POINT (-73.91891149799994 40.80653857400006)",10454
