"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode","new_georeferenced_column"
149455199,"January",17,2016,00:08:00,"BROOKLYN",72,0,NA,FALSE,"18-24","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC",982275.8125,175427.71875,40.6481932020001,-74.007115728,"POINT (-74.00711572799997 40.64819320200007)",11220,NA
151902140,"April",6,2016,19:44:00,"MANHATTAN",25,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"45-64","M","BLACK",1001755.9375,233152.75,40.8066172090001,-73.9367659819999,"POINT (-73.93676598199994 40.80661720900008)",10035,NA
156442532,"September",5,2016,06:47:00,"BROOKLYN",71,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",997703.5625,178036.734375,40.655344386,-73.951514281,"POINT (-73.95151428099996 40.655344386000024)",11226,NA
154563859,"July",3,2016,23:55:00,"QUEENS",103,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK HISPANIC",1040616.8125,192273.703125,40.694252388,-73.796734543,"POINT (-73.79673454299996 40.69425238800005)",11433,NA
158090348,"October",31,2016,22:25:00,"BROOKLYN",77,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1002407.5625,185867.0625,40.6768284980001,-73.9345398,"POINT (-73.93453979999998 40.67682849800008)",11213,NA
150911774,"March",4,2016,04:51:00,"QUEENS",114,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1004086.5,213799.265625,40.753492099,-73.928404594,"POINT (-73.92840459399999 40.75349209900003)",11106,NA
151747520,"April",1,2016,17:22:00,"BROOKLYN",84,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"<18","M","BLACK","<18","M","BLACK",989326.6875,194191.53125,40.699694423,-73.981692697,"POINT (-73.98169269699997 40.69969442300004)",11201,NA
157251491,"October",3,2016,12:54:00,"MANHATTAN",33,0,NA,TRUE,"25-44","M","BLACK","25-44","M","WHITE",1001888.625,245600.65625,40.840782915,-73.9362539639999,"POINT (-73.93625396399995 40.840782915000034)",10032,NA
155577957,"August",7,2016,22:02:00,"BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1021889,181921.25,40.6659367440001,-73.864327437,"POINT (-73.86432743699999 40.66593674400008)",11208,NA
153210053,"May",18,2016,19:35:00,"BROOKLYN",67,0,NA,TRUE,NA,NA,NA,"65+","M","BLACK",998235.125,173191.25,40.6420437580001,-73.949608556,"POINT (-73.94960855599999 40.64204375800006)",11226,NA
151586091,"March",26,2016,00:05:00,"STATEN ISLAND",121,0,NA,FALSE,"18-24","M","BLACK","18-24","M","BLACK",944327,170618.21875,40.634902401,-74.143841466,"POINT (-74.14384146599997 40.63490240100003)",10302,NA
157656720,"October",17,2016,00:36:00,"MANHATTAN",34,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1006233.3125,253436.234375,40.862279501,-73.9205262099999,"POINT (-73.92052620999993 40.862279501000046)",10034,NA
152535322,"April",27,2016,07:30:00,"BRONX",48,0,"MULTI DWELL - APT BUILD",FALSE,"18-24","M","WHITE HISPANIC","25-44","F","BLACK",1017838.5,247121.640625,40.8449113080001,-73.878602198,"POINT (-73.87860219799995 40.844911308000064)",10460,NA
154563862,"July",4,2016,01:02:00,"BROOKLYN",61,0,"RESTAURANT/DINER",FALSE,"18-24","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC",990635.125,156620.609375,40.596569528,-73.9770094579999,"POINT (-73.97700945799994 40.59656952800003)",11223,NA
158669665,"November",20,2016,12:30:00,"BRONX",41,0,NA,TRUE,"18-24","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC",1014179.25,239452.828125,40.8238758030001,-73.8918620649999,"POINT (-73.89186206499994 40.82387580300008)",10459,NA
156163204,"August",26,2016,01:59:00,"BROOKLYN",70,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",995293.875,176595.140625,40.6513908580001,-73.960201248,"POINT (-73.96020124799998 40.65139085800007)",11226,NA
156246450,"August",28,2016,05:57:00,"MANHATTAN",32,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",1001420.75,241474.640625,40.8294591170001,-73.937955465,"POINT (-73.93795546499996 40.829459117000056)",10039,NA
150273223,"February",10,2016,20:15:00,"BROOKLYN",67,0,"SOCIAL CLUB/POLICY LOCATI",FALSE,NA,NA,NA,"45-64","M","BLACK",1002624.375,176672.921875,40.6515921760001,-73.933783203,"POINT (-73.93378320299996 40.651592176000065)",11203,NA
